player_id,TM,POS,AGE,FIRST,LAST,B,T,BAT_PROFILE,AVG,CLU,SPD,FLD,b_BABIP,b_BB,b_SO,b_HP,b_HR,b_IH,b_SL,b_DL,b_TL,b_GBFB,p_BABIP,p_BB,p_SO,p_HP,p_HR,p_IH,p_SL,p_DL,p_TL,p_GBFB
2,LAP,RP,29,Brent,Honeywell,R,R,5,0.235,0.05,8.1,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
3,LAP,SP,25,Yoshinobu,Yamamoto,R,R,2,0.226,-0.15,4.4,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
4,LAP,RP,36,Blake,Treinen,R,R,5,0.193,-0.15,4.1,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
5,LAP,RP,29,Evan,Phillips,R,R,3,0.229,0.29,3.2,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
6,LAP,RP,30,Anthony,Banda,L,L,4,0.233,0.71,6.3,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
7,LAP,SP,26,Landon,Knack,L,R,1,0.219,0.54,4.3,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
8,LAP,RP,36,Ryan,Brasier,R,R,4,0.21,-0.27,3.3,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
9,LAP,SP,25,Ben,Casparius,R,R,3,0.273,0.22,1.6,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
10,LAP,RP,37,Daniel,Hudson,R,R,5,0.197,-0.47,3,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
11,LAP,SP,29,Jack,Flaherty,R,R,5,0.233,0.52,5.3,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
12,LAP,SP,22,Edgardo,Henriquez,R,R,5,0.167,0.17,3.6,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
13,LAP,SP,29,Walker,Buehler,R,R,4,0.286,0.63,6.8,0.999,0.295,0.085,0.225,0.008,0.035,0.035,0.145,0.045,0.005,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
