player_id,TM,POS,AGE,FIRST,LAST,B,T,BAT_PROFILE,AVG,CLU,SPD,FLD,b_BABIP,b_BB,b_SO,b_HP,b_HR,b_IH,b_SL,b_DL,b_TL,b_GBFB,p_BABIP,p_BB,p_SO,p_HP,p_HR,p_IH,p_SL,p_DL,p_TL,p_GBFB
3,CHR,SP,25,Yoshinobu,Yamamoto,R,R,2,0.226,-0.15,4.4,0.999,0.295,0.085,0.185,0.008,0.038,0.035,0.185,0.061,0.002,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
4,CHR,SP,36,Blake,Treinen,R,R,5,0.193,-0.15,4.1,0.999,0.295,0.085,0.163,0.008,0.06,0.035,0.171,0.040,0.003,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
5,CHR,SP,29,Evan,Phillips,R,R,3,0.229,0.29,3.2,0.999,0.295,0.085,0.183,0.008,0.069,0.035,0.168,0.055,0.008,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
6,CHR,RP,30,Anthony,Banda,L,L,4,0.233,0.71,6.3,0.999,0.295,0.085,0.221,0.008,0.042,0.035,0.162,0.050,0.002,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
7,CHR,RP,26,Landon,Knack,L,R,1,0.219,0.54,4.3,0.999,0.295,0.085,0.198,0.008,0.041,0.035,0.183,0.062,0.007,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
8,CHR,RP,36,Ryan,Brasier,R,R,4,0.21,-0.27,3.3,0.999,0.295,0.085,0.249,0.008,0.034,0.035,0.143,0.035,0.003,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
9,CHR,RP,25,Ben,Casparius,R,R,3,0.273,0.22,1.6,0.999,0.295,0.085,0.236,0.008,0.093,0.035,0.140,0.052,0.006,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
10,CHR,RP,37,Daniel,Hudson,R,R,5,0.197,-0.47,3,0.999,0.295,0.085,0.187,0.008,0.056,0.035,0.157,0.034,0.007,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
11,CHR,RP,29,Jack,Flaherty,R,R,5,0.233,0.52,5.3,0.999,0.295,0.085,0.163,0.008,0.086,0.035,0.176,0.037,0.008,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
12,CHR,RP,22,Edgardo,Henriquez,R,R,5,0.167,0.17,3.6,0.999,0.295,0.085,0.222,0.008,0.085,0.035,0.156,0.064,0.007,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
13,CHR,RP,29,Walker,Buehler,R,R,4,0.286,0.63,6.8,0.999,0.295,0.085,0.245,0.008,0.019,0.035,0.161,0.058,0.008,0.955,0.265,0.085,0.285,0.008,0.024,0.035,0.135,0.045,0.005,0.855
